      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_frbrd Min_frbrd Max_frbrd  SD_frbrd Avg_thkns Min_thkns Max_thkns  SD_thkns
   ICESAT1-G          3d  11000026   2005  312.4  294.0  327.0     11   72.08  151.69   71.82   72.34  151.24  152.18     90       535   -999.00   -999.00   -999.00   -999.00      0.12      0.00      0.38      0.06      0.30      0.00      1.80      0.17
   ICESAT1-G          3d  11000027   2005  317.0  311.0  322.0     11   71.49 -145.84   71.24   71.74 -146.01 -145.65     85       504   -999.00   -999.00   -999.00   -999.00      0.31      0.00      1.07      0.18      2.16      0.00      9.29      1.67
   ICESAT1-G          3d  11000028   2005  319.6  312.0  323.0     11   72.00 -148.52   71.75   72.29 -149.23 -148.17    125       737   -999.00   -999.00   -999.00   -999.00      0.22      0.00      1.11      0.14      1.17      0.00      9.52      1.28
   ICESAT1-G          3d  11000029   2005  318.8  310.0  327.0     11   73.43 -158.10   73.16   73.73 -158.90 -157.29    111       653   -999.00   -999.00   -999.00   -999.00      0.24      0.00      1.04      0.17      1.28      0.00      8.66      1.39
   ICESAT1-G          3d  11000030   2005  315.2  307.0  323.0     11   73.60 -159.57   73.37   73.81 -160.25 -158.60     86       507   -999.00   -999.00   -999.00   -999.00      0.24      0.00      1.04      0.15      1.20      0.00      8.63      1.31
   ICESAT1-G          3d  11000031   2005  317.1  309.0  325.0     11   74.15 -165.74   73.89   74.40 -166.58 -164.92     89       528   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.93      0.12      0.82      0.00      7.47      0.90
   ICESAT1-G          3d  11000032   2005  320.1  305.0  326.0     11   74.62 -179.22   74.40   74.85 -179.87 -178.58    114       674   -999.00   -999.00   -999.00   -999.00      0.16      0.00      0.58      0.08      0.46      0.00      4.02      0.41
   ICESAT1-G          3d  11000033   2005  313.2  305.0  325.0     11   73.42  157.83   73.15   73.69  157.32  158.78    111       656   -999.00   -999.00   -999.00   -999.00      0.15      0.00      0.49      0.06      0.37      0.00      2.84      0.22
   ICESAT1-G          3d  11000034   2005  317.2  301.0  326.0     11   73.11  155.37   72.84   73.36  154.52  155.98    130       769   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.39      0.07      0.61      0.00      2.19      0.44
   ICESAT1-G          3d  11000035   2005  314.7  298.0  323.0     11   72.87  153.95   72.66   73.08  152.83  154.52    106       624   -999.00   -999.00   -999.00   -999.00      0.23      0.00      0.69      0.09      0.81      0.00      4.79      0.56
   ICESAT1-G          3d  11000036   2005  314.1  310.0  321.0     11   71.41 -143.01   71.14   71.66 -143.84 -142.63    100       589   -999.00   -999.00   -999.00   -999.00      0.50      0.00      1.49      0.26      3.96      0.00     13.18      2.45
   ICESAT1-G          3d  11000037   2005  313.3  307.0  320.0     11   72.66 -149.24   72.38   72.92 -149.75 -148.67    116       688   -999.00   -999.00   -999.00   -999.00      0.27      0.00      1.32      0.19      1.69      0.00     11.50      1.67
   ICESAT1-G          3d  11000038   2005  323.8  322.0  326.0     11   73.67 -155.67   73.42   73.93 -155.94 -155.43     97       572   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.82      0.16      1.03      0.00      6.52      1.25
